t,en,nl,display
t1,places,places,1
t2,regions,regions,0
t3,countries,countries,0
t4,cities,cities,0
t5,national parks,national parks,1
t6,cycle routes,cycle routes,0
t7,mountain bike routes,mountain bike routes,0
t8,waters,waters,0
